component_code,component_name,file_path,line,text_type,translation_key,english,kiswahili,translated
CRM-0060,Activity Card,src/components/supervisor/ActivityCard.tsx,0,component_name,,Activity Card,,no
CRM-0060,Activity Card,src/components/supervisor/ActivityCard.tsx,30,label,,Back from Break,,no
CRM-0060,Activity Card,src/components/supervisor/ActivityCard.tsx,0,component_description,,Card summarising a recent agent activity.,,no
CRM-0060,Activity Card,src/components/supervisor/ActivityCard.tsx,24,label,,Checked In,,no
CRM-0060,Activity Card,src/components/supervisor/ActivityCard.tsx,25,label,,Checked Out,,no
CRM-0060,Activity Card,src/components/supervisor/ActivityCard.tsx,27,label,,Giveaway,,no
CRM-0060,Activity Card,src/components/supervisor/ActivityCard.tsx,29,label,,On Break,,no
CRM-0060,Activity Card,src/components/supervisor/ActivityCard.tsx,26,label,,Sale,,no
CRM-0060,Activity Card,src/components/supervisor/ActivityCard.tsx,28,label,,Survey,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,0,component_name,,Activity Detail,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,195,label,,Activity Details,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,195,heading,,Activity Details,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,178,label,,Activity not found,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,311,placeholder,,Add a caption before uploading...,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,277,placeholder,,Add notes about this interaction...,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,229,label,,Amount:,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,291,label,,Attached Pictures,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,210,label,,Date & Time:,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,0,component_description,,Drill-down view for a single activity record.,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,241,label,,Interaction Notes,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,170,label,,Loading...,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,326,label,,No pictures attached yet,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,217,label,,Phone:,,no
CRM-0092,Activity Detail,src/pages/ActivityDetail.tsx,223,label,,Product:,,no
CRM-0061,Agent Status Item,src/components/supervisor/AgentStatusItem.tsx,0,component_name,,Agent Status Item,,no
CRM-0061,Agent Status Item,src/components/supervisor/AgentStatusItem.tsx,26,label,,Checked In,,no
CRM-0061,Agent Status Item,src/components/supervisor/AgentStatusItem.tsx,27,label,,Checked Out,,no
CRM-0061,Agent Status Item,src/components/supervisor/AgentStatusItem.tsx,0,component_description,,Live agent status row used in supervisor lists.,,no
CRM-0061,Agent Status Item,src/components/supervisor/AgentStatusItem.tsx,28,label,,On Break,,no
CRM-0005,Background Location Tracker,src/components/BackgroundLocationTracker.tsx,0,component_description,,Background GPS tracker for agent location.,,no
CRM-0005,Background Location Tracker,src/components/BackgroundLocationTracker.tsx,0,component_name,,Background Location Tracker,,no
CRM-0001,Bottom Navigation,src/components/BottomNavigation.tsx,0,component_name,,Bottom Navigation,,no
CRM-0001,Bottom Navigation,src/components/BottomNavigation.tsx,0,component_description,,Bottom tab bar for agent navigation.,,no
CRM-0001,Bottom Navigation,src/components/BottomNavigation.tsx,28,label,,Chat,,no
CRM-0001,Bottom Navigation,src/components/BottomNavigation.tsx,23,label,,Dashboard,,no
CRM-0001,Bottom Navigation,src/components/BottomNavigation.tsx,27,label,,Inventory,,no
CRM-0001,Bottom Navigation,src/components/BottomNavigation.tsx,29,label,,Profile,,no
CRM-0001,Bottom Navigation,src/components/BottomNavigation.tsx,24,label,,Reports,,no
CRM-0001,Bottom Navigation,src/components/BottomNavigation.tsx,26,label,,Routes,,no
CRM-0001,Bottom Navigation,src/components/BottomNavigation.tsx,25,label,,Surveys,,no
CRM-0010,Check-in / Check-out,src/components/dashboard/CheckInOutDialog.tsx,289,placeholder,,Add a caption to your selfie...,,no
CRM-0010,Check-in / Check-out,src/components/dashboard/CheckInOutDialog.tsx,250,label,,Check In,,no
CRM-0010,Check-in / Check-out,src/components/dashboard/CheckInOutDialog.tsx,251,label,,Check Out,,no
CRM-0010,Check-in / Check-out,src/components/dashboard/CheckInOutDialog.tsx,0,component_name,,Check-in / Check-out,,no
CRM-0010,Check-in / Check-out,src/components/dashboard/CheckInOutDialog.tsx,0,component_description,,Lets agents check in and out of a store visit with location capture.,,no
CRM-0010,Check-in / Check-out,src/components/dashboard/CheckInOutDialog.tsx,252,label,,Lunch,,no
CRM-0010,Check-in / Check-out,src/components/dashboard/CheckInOutDialog.tsx,247,placeholder,,Select status,,no
